t,x,y,vx,vy,psi,omega,ax_true,ay_true,ax_meas,ay_meas,omega_meas,Bx_true,By_true,Bz_true,f1_plus,f1_minus,f2_plus,f2_minus,f3_plus,f3_minus,f4_plus,f4_minus
1823.2,584.1984051331465,570.0506120982278,3.9408586569117334,3.0772768881340298,0.6629636007370394,-0.004106613307752194,0.012637169095754963,-0.016183595244265714,0.006283666682620768,-0.026607285636028332,-0.005137581333346192,20818.07090760958,-8089.77443484946,46257.73459179654,2872.0345784936067,2868.125421506393,2870.7992245207047,2869.360775479295,2869.863585795318,2870.2964142046817,2871.62261119037,2868.5373888096296
1823.3000000000002,584.5541143177467,570.3282552085815,3.942125230206695,3.0756541855949617,0.6625519032023537,-0.004127358139441872,0.012694309083212119,-0.016270575373891205,0.01284727765394501,-0.013344262368019739,-0.00379518980304218,20817.824353013202,-8092.12751374107,46263.0473963796,2872.034622401202,2868.125377598798,2870.79917263306,2869.3608273669397,2869.863465727369,2870.2965342726307,2871.6227392383685,2868.5372607616314
1823.4,584.909730778392,570.6055898247994,3.943397518728376,3.0740227730592515,0.662138129109151,-0.0041481445947832984,0.012751473566521287,-0.016357795899488714,0.00856041346016537,-0.01587283171733512,-0.004000934418253898,20817.54847308148,-8094.47530476973,46268.34014290456,2872.0346655951935,2868.1253344048064,2870.799120509868,2869.360879490132,2869.8633465441717,2870.296653455828,2871.6228673507662,2868.5371326492336
1823.5,585.2652541251066,570.8826147303571,3.944675524919999,3.072382626415064,0.661722274283397,-0.004168972903630386,0.012808662404484306,-0.016445258253219297,0.010500296337210878,-0.016437300925995074,-0.0033504265766982244,20817.27137914204,-8096.814656595598,46273.62876610351,2872.0347088393833,2868.1252911606166,2870.799068297185,2869.360931702815,2869.863227583922,2870.296772416078,2871.6229952795097,2868.53700472049
1823.6000000000001,585.6206839680169,571.1593287100889,3.9459592512092727,3.0707337214086077,0.661304334528425,-0.0041898432934300844,0.01286587544221618,-0.016532963860480532,0.0073104377047279335,-0.010866119716407656,-0.004917332354723361,20816.97656509241,-8099.159258561849,46278.895673784275,2872.034751360417,2868.125248639583,2870.799016234124,2869.360983765876,2869.8631091769003,2870.2968908230996,2871.6231232285586,2868.5368767714413
1823.7,585.9760199173492,571.4357305501908,3.9472487000084424,3.069076033642968,0.660884305624711,-0.004210755996319482,0.012923112532898795,-0.01662091416794187,0.011047376111793662,-0.01789716885720304,-0.004770376962745844,20816.653866555498,-8101.507987449804,46284.13728222247,2872.0347929539857,2868.125207046014,2870.798964196012,2869.3610358039878,2869.862991563771,2870.2970084362287,2871.623251286231,2868.5367487137687
1823.8000000000002,586.3312615834327,571.7118190382283,3.9485438737158525,3.0674095385750193,0.6604621833291611,-0.004231711244333525,0.012980373522966104,-0.01670911062465308,0.007751377954481583,-0.01401265900778341,-0.003715655804556201,20816.330369657226,-8103.8434470629,46289.37795267412,2872.034834734193,2868.125165265807,2870.7989119454214,2869.3610880545784,2869.86287419348,2870.29712580652,2871.6233791269055,2868.5366208730943
1823.9,586.686408576704,571.987592963144,3.9498447747130356,3.0657342115180373,0.6600379633758443,-0.00425270926572352,0.013037658240804273,-0.016797554667511427,0.016563222859946547,-0.021806242504158784,-0.004920370531023187,20815.98568434929,-8106.176573283665,46294.59993763154,2872.0348759068775,2868.1251240931224,2870.798859616564,2869.3611403834357,2869.8627575062346,2870.297242493765,2871.623506970324,2868.536493029676
1824.0,587.0414605076985,572.2630511152568,3.9511514053640133,3.064050027641517,0.6596116414760164,-0.004273750293610212,0.013094966523241602,-0.016886247755432127,0.015324192483943089,-0.023948771900405025,-0.004300137282401032,20815.6155624627,-8108.5137393096375,46299.79280463035,2872.034916131322,2868.125083868678,2870.7988074126597,2869.36119258734,2869.862641636476,2870.297358363524,2871.623634819542,2868.536365180458
1824.1000000000001,587.3964169870603,572.5381922862741,3.952463768017684,3.062356961966951,0.6591832133171223,-0.0042948345635424046,0.013152298207954605,-0.016975191359764885,0.013851120137031518,-0.019760649570136783,-0.004430604972080083,20815.244758424888,-8110.85330908536,46304.9824165117,2872.034956253149,2868.1250437468507,2870.798755289294,2869.3612447107057,2869.862525791534,2870.2974742084657,2871.6237626660222,2868.5362373339776
